h,s,t,r/2,zr,cx,cz,thetaWheel_-25,thetaWheel_-24,thetaWheel_-23,thetaWheel_-22,thetaWheel_-21,thetaWheel_-20,thetaWheel_-19,thetaWheel_-18,thetaWheel_-17,thetaWheel_-16,thetaWheel_-15,thetaWheel_-14,thetaWheel_-13,thetaWheel_-12,thetaWheel_-11,thetaWheel_-10,thetaWheel_-9,thetaWheel_-8,thetaWheel_-7,thetaWheel_-6,thetaWheel_-5,thetaWheel_-4,thetaWheel_-3,thetaWheel_-2,thetaWheel_-1,thetaWheel_0,thetaWheel_1,thetaWheel_2,thetaWheel_3,thetaWheel_4,thetaWheel_5,thetaWheel_6,thetaWheel_7,thetaWheel_8,thetaWheel_9,thetaWheel_10,thetaWheel_11,thetaWheel_12,thetaWheel_13,thetaWheel_14,thetaWheel_15,thetaWheel_16,thetaWheel_17,thetaWheel_18,thetaWheel_19,thetaWheel_20,thetaWheel_21,thetaWheel_22,thetaWheel_23,thetaWheel_24,thetaWheel_25
50,10,100,30,30,-10,-28,52.8764,51.2743,49.6463,47.9914,46.3083,44.5959,42.8525,41.0768,39.2668,37.4206,35.5362,33.6112,31.6428,29.6281,27.5637,25.4458,23.27,21.031,18.7232,16.3394,13.8713,11.3091,8.64027,5.84967,2.91774,-0.181116,-3.48156,-7.03263,-10.9078,-15.2265,-20.2083,-26.3556,-35.6742,-45.1273,-45.4356,-45.7501,-46.0708,-46.3978,-46.7311,-47.0708,-47.4169,-47.7695,-48.1285,-48.4941,-48.8661,-49.2448,-49.6299,-50.0216,-50.4198,-50.8245,-51.2356
40,10,100,30,10,-8,-30,53.5985,52.226,50.8224,49.3861,47.9154,46.4086,44.8634,43.2776,41.6484,39.9729,38.2476,36.4685,34.6311,32.7298,30.7586,28.7097,26.5741,24.3408,21.9956,19.5211,16.894,14.0832,11.0446,7.71283,3.98285,-0.335477,-5.66342,-13.5151,-23.3172,-23.4029,-23.4904,-23.5795,-23.6703,-23.7628,-23.857,-23.953,-24.0507,-24.1503,-24.2516,-24.3547,-24.4597,-24.5664,-24.6751,-24.7856,-24.8979,-25.0122,-25.1283,-25.2462,-25.3661,-25.4878,-25.6114
40,20,100,40,10,-8,-40,49.6224,48.4144,47.1749,45.9024,44.5953,43.2516,41.8693,40.446,38.979,37.4653,35.9016,34.2837,32.6073,30.8669,29.0563,27.168,25.193,23.1201,20.9355,18.6215,16.155,13.5042,10.6245,7.44845,3.86596,-0.328068,-5.61482,-14.1255,-21.1194,-21.2367,-21.3566,-21.4793,-21.6047,-21.7329,-21.864,-21.998,-22.135,-22.275,-22.4181,-22.5644,-22.7138,-22.8665,-23.0224,-23.1818,-23.3445,-23.5106,-23.6802,-23.8534,-24.0301,-24.2104,-24.3944
40,30,100,50,10,-8,-50,47.6143,46.4945,45.3429,44.1577,42.9374,41.6798,40.3829,39.0442,37.6611,36.2304,34.7487,33.212,31.6156,29.9543,28.2216,26.4102,24.5109,22.5128,20.402,18.161,15.7669,13.1887,10.3824,7.28205,3.78052,-0.320766,-5.48327,-13.6837,-20.8976,-21.0672,-21.2414,-21.4203,-21.6042,-21.7932,-21.9873,-22.1869,-22.3919,-22.6026,-22.8192,-23.0417,-23.2704,-23.5055,-23.7471,-23.9954,-24.2505,-24.5128,-24.7822,-25.0592,-25.3437,-25.6361,-25.9365
40,10,70,60,10,-8,-30,55.3565,53.9581,52.5252,51.0561,49.5488,48.0014,46.4114,44.7762,43.093,41.3583,39.5686,37.7195,35.8063,33.8233,31.764,29.6209,27.3849,25.045,22.5879,19.9971,17.2514,14.3232,11.1753,7.75485,3.9829,-0.269154,-5.23933,-11.4813,-21.3788,-30.0011,-30.2755,-30.5593,-30.853,-31.1569,-31.4716,-31.7975,-32.135,-32.4846,-32.8469,-33.2224,-33.6117,-34.0153,-34.434,-34.8682,-35.3188,-35.7865,-36.2719,-36.7758,-37.2991,-37.8425,-38.407
50,20,80,60,10,-8,-40,59.0318,57.6486,56.2275,54.7664,53.2631,51.7149,50.1191,48.4725,46.7715,45.0121,43.1897,41.2991,39.3343,37.2883,35.153,32.9185,30.5733,28.1033,25.4907,22.7133,19.7421,16.5379,13.0459,9.18413,4.82032,-0.288035,-6.69629,-16.6717,-26.3127,-26.6546,-27.0116,-27.3845,-27.7744,-28.1822,-28.6089,-29.0559,-29.5243,-30.0154,-30.5308,-31.072,-31.6406,-32.2386,-32.8679,-33.5305,-34.2288,-34.9652,-35.7425,-36.5634,-37.4311,-38.3489,-39.3203
40,40,100,60,10,-8,-60,46.943,45.8698,44.7635,43.6225,42.4448,41.2283,39.9709,38.6699,37.3225,35.9254,34.4752,32.9675,31.3977,29.7602,28.0486,26.2554,24.3714,22.3855,20.2841,18.05,15.6608,13.0865,10.2855,7.19624,3.72123,-0.31359,-5.28551,-12.4781,-22.3991,-22.6643,-22.9387,-23.2225,-23.5162,-23.8202,-24.1349,-24.4607,-24.7982,-25.1479,-25.5102,-25.8857,-26.2749,-26.6786,-27.0972,-27.5315,-27.9821,-28.4497,-28.9351,-29.439,-29.9623,-30.5057,-31.0702
40,30,80,70,10,-8,-50,50.3123,49.1499,47.9512,46.7144,45.4375,44.1181,42.7537,41.3414,39.8783,38.3608,36.7849,35.1463,33.4398,31.6597,29.7994,27.8509,25.8052,23.6511,21.3753,18.9614,16.3884,13.6295,10.6483,7.39408,3.79169,-0.28007,-5.0423,-10.9982,-20.1688,-29.3173,-29.8049,-30.3148,-30.8481,-31.4063,-31.9909,-32.6034,-33.2455,-33.919,-34.6259,-35.3682,-36.1481,-36.968,-37.8303,-38.7377,-39.693,-40.699,-41.7591,-42.8762,-44.054,-45.2957,-46.6051
40,10,100,30,10,-10,-30,50.757,49.4156,48.0443,46.6418,45.2066,43.737,42.231,40.6866,39.1013,37.4725,35.7969,34.0713,32.2913,30.4525,28.5493,26.5752,24.5226,22.3819,20.1419,17.788,15.302,12.6596,9.82819,6.76114,3.38851,-0.404063,-4.82876,-10.38,-19.1779,-26.9065,-26.9939,-27.083,-27.1738,-27.2663,-27.3605,-27.4565,-27.5543,-27.6538,-27.7551,-27.8582,-27.9632,-28.07,-28.1786,-28.2891,-28.4015,-28.5157,-28.6318,-28.7498,-28.8696,-28.9913,-29.1149
50,20,100,40,10,-10,-40,54.9332,53.5874,52.2078,50.7925,49.3398,47.8474,46.313,44.7339,43.1072,41.4294,39.6966,37.9044,36.0476,34.1203,32.1154,30.0246,27.8376,25.5422,23.1229,20.5601,17.828,14.8919,11.7026,8.18647,4.22411,-0.404497,-6.20532,-15.2541,-23.9336,-24.0832,-24.2372,-24.3957,-24.5589,-24.7268,-24.8997,-25.0777,-25.261,-25.4497,-25.6441,-25.8443,-26.0504,-26.2628,-26.4816,-26.7071,-26.9393,-27.1786,-27.4252,-27.6793,-27.9411,-28.2109,-28.489
